hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Discount,Cost
"Resort Hotel",1,292,2018,July,28,7,2,5,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",2,NULL,0,Contract,47.25,0,0,Canceled,25/03/2018,0.3,12.99
"Resort Hotel",1,113,2018,July,28,8,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,123,0,1,Canceled,28/05/2018,0.3,12.99
"Resort Hotel",1,105,2018,July,28,8,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,29/06/2018,0.3,12.99
"Resort Hotel",1,1,2018,July,28,8,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,110,0,Transient,104.72,0,1,Canceled,08/07/2018,0.15,12.99
"Resort Hotel",1,102,2018,July,28,8,1,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",9,NULL,0,Transient,66.42,0,1,Canceled,28/05/2018,0.1,12.99
"Resort Hotel",1,280,2018,July,28,8,2,5,2,1,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",40,NULL,0,Contract,112,0,1,Canceled,15/04/2018,0.3,17.99
"Resort Hotel",1,77,2018,July,28,9,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,"No Deposit",250,NULL,0,Transient,97,0,0,Canceled,02/06/2018,0.1,12.99
"Resort Hotel",1,24,2018,July,28,9,0,3,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,C,C,0,"No Deposit",242,NULL,0,Transient,123,0,1,Canceled,16/06/2018,0.3,12.99
"Resort Hotel",1,44,2018,July,28,9,0,3,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,153,0,0,Canceled,16/06/2018,0.3,12.99
"Resort Hotel",1,17,2018,July,28,9,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,105.08,0,0,Canceled,23/06/2018,0.3,12.99
"Resort Hotel",1,103,2018,July,28,9,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,65.42,0,0,Canceled,27/06/2018,0.3,12.99
"Resort Hotel",1,69,2018,July,28,9,2,6,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,118.13,0,2,Canceled,13/05/2018,0.3,17.99
"Resort Hotel",1,51,2018,July,28,10,2,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,29/06/2018,0.3,12.99
"Resort Hotel",1,100,2018,July,28,11,2,3,2,1,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",149,NULL,0,Transient,153.96,0,0,Canceled,29/05/2018,0.3,17.99
"Resort Hotel",1,36,2018,July,28,11,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126.67,0,0,Canceled,08/06/2018,0.3,12.99
"Resort Hotel",1,109,2018,July,28,11,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,73.8,0,1,Canceled,22/04/2018,0.3,12.99
"Resort Hotel",1,59,2018,July,28,11,2,6,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,111.25,0,2,Canceled,19/05/2018,0.3,12.99
"Resort Hotel",1,72,2018,July,29,12,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,93,0,2,Canceled,12/05/2018,0.3,12.99
"Resort Hotel",1,58,2018,July,29,12,2,5,3,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,"No Deposit",250,NULL,0,Transient,164.57,0,1,Canceled,29/06/2018,0.1,12.99
"Resort Hotel",1,51,2018,July,29,12,2,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",241,NULL,0,Transient,105.71,0,0,Canceled,03/07/2018,0.3,17.99
"Resort Hotel",1,97,2018,July,29,12,3,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126,0,1,Canceled,19/06/2018,0.3,12.99
"Resort Hotel",1,24,2018,July,29,12,2,1,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,128,0,0,Canceled,22/06/2018,0.3,17.99
"Resort Hotel",1,79,2018,July,29,13,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,100.86,0,1,Canceled,13/05/2018,0.3,12.99
"Resort Hotel",1,45,2018,July,29,13,1,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,123,0,0,Canceled,18/06/2018,0.3,12.99
"Resort Hotel",1,60,2018,July,29,13,1,4,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,79.5,0,0,Canceled,24/06/2018,0.3,12.99
"Resort Hotel",1,321,2018,July,29,13,1,4,2,0,0,HB,PRT,Direct,TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,132.8,0,1,Canceled,05/03/2018,0.1,17.99
"Resort Hotel",1,51,2018,July,29,13,1,4,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",156,NULL,0,Contract,79.5,0,0,Canceled,23/05/2018,0.3,12.99
"Resort Hotel",1,75,2018,July,29,13,1,4,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,144.2,0,1,Canceled,22/06/2018,0.3,17.99
"Resort Hotel",1,42,2018,July,29,13,1,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,120,0,0,Canceled,01/06/2018,0.3,12.99
"Resort Hotel",1,81,2018,July,29,13,1,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,98.5,0,2,Canceled,24/04/2018,0.3,12.99
"Resort Hotel",1,98,2018,July,29,13,1,5,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,130.5,0,0,Canceled,12/05/2018,0.3,17.99
"Resort Hotel",1,95,2018,July,29,13,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,100.86,0,1,Canceled,15/04/2018,0.3,12.99
"Resort Hotel",1,40,2018,July,29,14,0,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",171,NULL,0,Transient,105.5,0,0,Canceled,03/07/2018,0.3,12.99
"Resort Hotel",1,76,2018,July,29,14,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,126,0,2,Canceled,27/05/2018,0.3,12.99
"Resort Hotel",1,112,2018,July,29,14,2,5,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,65.7,0,1,Canceled,06/04/2018,0.3,12.99
"Resort Hotel",1,96,2018,July,29,14,2,7,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",242,NULL,0,Transient,107.67,0,1,Canceled,11/04/2018,0.3,12.99
"Resort Hotel",1,96,2018,July,29,14,2,7,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,96.9,0,1,Canceled,11/04/2018,0.3,12.99
"Resort Hotel",1,62,2018,July,29,15,0,3,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",171,NULL,0,Transient,91.5,0,0,Canceled,03/07/2018,0.3,17.99
"Resort Hotel",1,39,2018,July,29,15,0,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,132.44,0,0,Canceled,27/06/2018,0.3,12.99
"Resort Hotel",1,58,2018,July,29,15,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,131.86,0,0,Canceled,25/06/2018,0.3,12.99
"Resort Hotel",1,57,2018,July,29,15,0,2,2,0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,"No Deposit",305,NULL,0,Transient-Party,0,0,0,Canceled,13/07/2018,0.1,21.99
"Resort Hotel",1,66,2018,July,29,16,0,2,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,195,0,1,Canceled,02/07/2018,0.3,12.99
"Resort Hotel",1,48,2018,July,29,16,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",146,NULL,0,Transient,112,0,0,Canceled,05/06/2018,0.1,12.99
"Resort Hotel",1,0,2018,July,29,16,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,F,F,0,"No Deposit",241,NULL,0,Transient,123.2,0,0,Canceled,16/07/2018,0.3,12.99
"Resort Hotel",1,66,2018,July,29,16,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,103.5,0,1,Canceled,02/07/2018,0.3,12.99
"Resort Hotel",1,10,2018,July,29,16,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",250,NULL,0,Transient,134,0,0,Canceled,13/07/2018,0.1,12.99
"Resort Hotel",1,58,2018,July,29,16,0,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,147,0,0,Canceled,19/06/2018,0.3,17.99
"Resort Hotel",1,17,2018,July,29,16,0,3,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,151.33,0,0,Canceled,30/06/2018,0.3,17.99
"Resort Hotel",1,12,2018,July,29,16,2,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,"No Deposit",NULL,178,0,Transient,139,0,0,Canceled,07/07/2018,0.1,12.99
"Resort Hotel",1,35,2018,July,29,16,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,0,Canceled,13/06/2018,0.3,12.99
"Resort Hotel",1,35,2018,July,29,16,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,0,Canceled,11/06/2018,0.3,12.99
"Resort Hotel",1,15,2018,July,29,17,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,134,0,1,Canceled,06/07/2018,0.3,12.99
"Resort Hotel",1,7,2018,July,29,17,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,"No Deposit",NULL,NULL,0,Transient,127.25,0,1,Canceled,13/07/2018,0.1,12.99
"Resort Hotel",1,23,2018,July,29,17,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,120.6,0,1,Canceled,04/07/2018,0.3,12.99
"Resort Hotel",1,23,2018,July,29,17,2,5,2,2,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,"No Deposit",250,NULL,0,Transient,195,0,0,Canceled,24/06/2018,0.1,12.99
"Resort Hotel",1,32,2018,July,29,17,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,154,0,0,Canceled,24/06/2018,0.3,12.99
"Resort Hotel",1,0,2018,July,29,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,L,C,0,"No Deposit",NULL,NULL,0,Transient,136,0,0,Canceled,17/07/2018,0.1,12.99
"Resort Hotel",1,37,2018,July,29,18,2,4,2,2,0,HB,PRT,"Online TA",TA/TO,0,0,0,C,C,0,"No Deposit",242,NULL,0,Transient,168.3,0,0,Canceled,18/07/2018,0.3,17.99
"Resort Hotel",1,96,2018,July,29,18,2,2,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,147,0,0,Canceled,29/04/2018,0.3,17.99
"Resort Hotel",1,123,2018,July,29,18,2,2,2,0,1,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,1,"No Deposit",240,NULL,0,Transient,157,0,2,Canceled,04/06/2018,0.3,12.99
"Resort Hotel",1,42,2018,July,29,18,2,3,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,NULL,0,Transient,210,0,0,Canceled,11/06/2018,0.3,12.99
"Resort Hotel",1,40,2018,July,29,18,2,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",196,NULL,0,Transient,127.03,0,2,Canceled,24/06/2018,0.3,17.99
"Resort Hotel",1,60,2018,July,29,18,2,6,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,167,0,0,Canceled,01/06/2018,0.3,17.99
"Resort Hotel",1,59,2018,July,30,19,2,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,NULL,0,Transient,145,0,0,Canceled,23/05/2018,0.3,12.99
"Resort Hotel",1,37,2018,July,30,19,2,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,154,0,0,Canceled,29/06/2018,0.3,12.99
"Resort Hotel",1,38,2018,July,30,19,2,4,1,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",5,NULL,0,Transient,110.53,0,0,Canceled,19/06/2018,0.3,12.99
"Resort Hotel",1,62,2018,July,30,19,2,5,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,E,E,0,"No Deposit",261,NULL,0,Transient,158.5,0,1,Canceled,17/06/2018,0.3,17.99
"Resort Hotel",1,60,2018,July,30,19,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,117.71,0,0,Canceled,27/05/2018,0.3,12.99
"Resort Hotel",1,31,2018,July,30,19,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,154,0,0,Canceled,19/06/2018,0.3,12.99
"Resort Hotel",1,24,2018,July,30,19,2,4,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,214,0,0,Canceled,29/06/2018,0.3,12.99
"Resort Hotel",1,104,2018,July,30,19,2,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,NULL,0,Transient,115,0,2,Canceled,02/07/2018,0.3,12.99
"Resort Hotel",1,47,2018,July,30,19,3,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,195,0,0,Canceled,14/07/2018,0.3,12.99
"Resort Hotel",1,118,2018,July,30,20,1,2,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,179.1,0,2,Canceled,13/05/2018,0.3,12.99
"Resort Hotel",1,41,2018,July,30,20,1,3,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,1,Canceled,15/06/2018,0.3,12.99
"Resort Hotel",1,60,2018,July,30,20,1,4,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,195,0,0,Canceled,17/06/2018,0.3,12.99
"Resort Hotel",1,69,2018,July,30,20,1,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,NULL,0,Transient,135,0,0,Canceled,08/06/2018,0.3,12.99
"Resort Hotel",1,41,2018,July,30,20,1,5,2,2,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,214,0,1,Canceled,22/06/2018,0.3,12.99
"Resort Hotel",1,41,2018,July,30,20,1,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,1,"No Deposit",240,NULL,0,Transient,141.33,0,1,Canceled,22/06/2018,0.3,12.99
"Resort Hotel",1,28,2018,July,30,20,2,5,2,1,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,"No Deposit",NULL,NULL,0,Transient,240.64,0,0,Canceled,20/07/2018,0.1,21.99
"Resort Hotel",1,86,2018,July,30,20,2,5,2,1,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,"No Deposit",250,NULL,0,Transient,172.93,0,1,Canceled,11/05/2018,0.1,17.99
"Resort Hotel",1,118,2018,July,30,20,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,G,G,0,"No Deposit",240,NULL,0,Transient,179.1,0,1,Canceled,23/04/2018,0.3,12.99
"Resort Hotel",1,52,2018,July,30,20,3,6,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",142,NULL,0,Transient,92,0,0,Canceled,02/06/2018,0.3,17.99
"Resort Hotel",1,49,2018,July,30,20,3,6,2,0,0,FB,PRT,"Offline TA/TO",TA/TO,0,0,0,D,D,0,"No Deposit",15,NULL,0,Transient,111.2,0,0,Canceled,01/06/2018,0.3,21.99
"Resort Hotel",1,7,2018,July,30,20,3,8,2,0,0,HB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",196,NULL,0,Transient,200,0,0,Canceled,14/07/2018,0.3,17.99
